,date,overall_score,revitalization_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
93,2024-12-29,Fair,72,57.0,63,0.124634858812074
94,2024-12-28,Fair,64,22.0,64,0.0626057529610829
95,2024-12-27,Fair,73,82.0,64,0.0863579474342928
96,2024-12-26,Fair,74,58.0,63,0.0613496932515337
97,2024-12-25,Fair,72,60.0,62,0.1004878048780487
98,2024-12-24,Fair,67,36.0,63,0.0625
99,2024-12-23,Fair,66,10.0,64,0.102803738317757
100,2024-12-23,Fair,67,65.0,64,0.0888208269525268
101,2024-12-22,Fair,73,69.0,66,0.1147540983606557
102,2024-12-21,Good,80,114.0,68,0.0828025477707006
103,2024-12-20,Fair,77,86.0,65,0.0829439252336448
104,2024-12-17,Good,87,125.0,67,0.0929009640666082
105,2024-12-16,Good,88,75.0,68,0.0839160839160839
106,2024-12-15,Fair,72,49.0,69,0.0845921450151057
107,2024-12-14,Fair,67,53.0,68,0.1400862068965517
108,2024-12-13,Poor,49,19.0,66,0.0723104056437389
109,2024-12-10,Fair,69,65.0,68,0.1394871794871794
110,2024-12-09,Fair,73,50.0,68,0.1284686536485097
111,2024-12-07,Fair,78,78.0,67,0.1488143908421913
112,2024-12-06,Fair,67,88.0,66,0.1133557800224466
113,2024-12-05,Good,81,75.0,67,0.0912659470068694
114,2024-12-04,Fair,75,78.0,67,0.1196283391405342
115,2024-12-03,Fair,77,69.0,67,0.1510658016682113
116,2024-12-02,Fair,69,54.0,65,0.1177231565329883
117,2024-12-01,Good,82,72.0,66,0.0689289501590668
118,2024-11-30,Good,83,65.0,66,0.093113482056256
119,2024-11-29,Fair,68,58.0,66,0.1070195627157652
120,2024-11-27,Fair,63,42.0,67,0.0611764705882353
121,2024-11-26,Fair,73,73.0,65,0.0827067669172932
122,2024-11-25,Fair,76,90.0,66,0.0835051546391752
123,2024-11-24,Fair,73,127.0,64,0.0886939571150097
124,2024-11-23,Poor,57,33.0,64,0.1122913505311077
125,2024-11-22,Fair,76,25.0,64,0.0629834254143646
126,2024-11-21,Good,84,55.0,65,0.1018998272884283
127,2024-11-20,Fair,75,62.0,65,0.0788321167883211
128,2024-11-19,Fair,77,67.0,66,0.1189743589743589
129,2024-11-18,Good,80,52.0,68,0.0820073439412484
130,2024-11-17,Fair,69,81.0,66,0.0748129675810473
131,2024-11-16,Poor,59,21.0,66,0.0897959183673469
132,2024-11-15,Fair,70,68.0,65,0.0789200415368639
133,2024-11-14,Good,81,112.0,64,0.0913654618473895
134,2024-11-13,Fair,72,64.0,64,0.1154929577464788
135,2024-11-12,Good,89,123.0,65,0.0827966881324747
136,2024-11-11,Fair,66,66.0,64,0.1399798590130916
137,2024-11-10,Fair,75,83.0,64,0.0620525059665871
138,2024-11-09,Fair,67,40.0,65,0.1190926275992438
139,2024-11-08,Fair,64,45.0,62,0.1011470281543274
140,2024-11-07,Fair,70,47.0,64,0.0510204081632653
141,2024-11-06,Fair,70,42.0,66,0.1130690161527166
142,2024-11-05,Fair,68,62.0,65,0.1042873696407879
143,2024-11-04,Good,80,79.0,64,0.083083083083083
144,2024-11-02,Fair,68,49.0,65,0.1131498470948012
145,2024-11-01,Fair,70,19.0,63,0.1278106508875739
146,2024-10-31,Fair,62,60.0,62,0.1048292108362779
147,2024-10-30,Fair,78,76.0,63,0.1213640922768305
148,2024-10-29,Good,80,98.0,65,0.10871694417238
149,2024-10-28,Fair,71,37.0,64,0.0844091360476663
150,2024-10-27,Good,84,96.0,66,0.1026137463697967
151,2024-10-25,Fair,70,18.0,65,0.0954773869346733
152,2024-10-24,Fair,69,30.0,65,0.060790273556231
153,2024-10-23,Fair,71,50.0,66,0.073076923076923
154,2024-10-22,Good,81,98.0,67,0.0874872838250254
155,2024-10-21,Fair,77,80.0,67,0.0871177015755329
156,2024-10-20,Fair,74,68.0,66,0.064340239912759
157,2024-10-19,Fair,73,68.0,65,0.0830601092896174
158,2024-10-18,Fair,68,74.0,64,0.0817469204927211
159,2024-10-17,Fair,67,49.0,64,0.1144945188794153
160,2024-10-16,Fair,79,77.0,64,0.1026156941649899
161,2024-10-15,Fair,76,55.0,62,0.079002079002079
162,2024-10-14,Good,87,120.0,62,0.068205666316894
163,2024-10-13,Fair,73,90.0,61,0.0983446932814021
164,2024-10-12,Fair,67,42.0,61,0.0844686648501362
165,2024-10-11,Fair,75,70.0,63,0.0863309352517985
166,2024-10-10,Fair,66,48.0,65,0.061823802163833
167,2024-10-09,Fair,76,82.0,65,0.0959641255605381
168,2024-10-08,Good,81,72.0,64,0.0818083961248654
169,2024-10-07,Fair,75,37.0,63,0.051698670605613
170,2024-10-06,Excellent,90,110.0,63,0.0897552130553037
171,2024-10-05,Good,82,110.0,63,0.0738461538461538
172,2024-10-04,Fair,79,51.0,62,0.0704041720990873
173,2024-10-03,Fair,79,43.0,61,0.0859060402684563
174,2024-10-02,Fair,76,47.0,62,0.0518806744487678
175,2024-10-01,Fair,73,60.0,62,0.075187969924812
176,2024-09-30,Good,83,114.0,62,0.0977948226270374
177,2024-09-29,Fair,64,57.0,63,0.1116279069767441
178,2024-09-28,Fair,79,83.0,62,0.0728542914171656
179,2024-09-27,Good,81,96.0,63,0.089430894308943
180,2024-09-26,Fair,64,58.0,62,0.0870917573872472
181,2024-09-25,Fair,69,71.0,62,0.0802833530106257
182,2024-09-24,Good,86,122.0,62,0.1025399811853245
183,2024-09-23,Fair,77,88.0,64,0.085812356979405
184,2024-09-22,Good,81,95.0,66,0.0754536771728748
185,2024-09-21,Fair,74,104.0,64,0.0757211538461538
186,2024-09-20,Fair,73,65.0,62,0.0681081081081081
187,2024-09-19,Fair,66,33.0,62,0.0579310344827586
188,2024-09-18,Fair,62,30.0,63,0.1321695760598503
189,2024-09-17,Good,81,77.0,64,0.0737618545837724
190,2024-09-16,Fair,73,57.0,65,0.074719800747198
191,2024-09-15,Good,83,84.0,66,0.0831146106736658
192,2024-09-14,Fair,73,39.0,67,0.1018981018981019
193,2024-09-13,Fair,77,60.0,68,0.0833333333333333
194,2024-09-12,Good,86,78.0,70,0.1213973799126637
195,2024-09-11,Good,82,97.0,73,0.092063492063492
196,2024-09-10,Fair,74,78.0,74,0.078853046594982
197,2024-09-09,Fair,64,58.0,72,0.1102661596958174
198,2024-09-08,Poor,55,41.0,68,0.183920704845815
199,2024-09-07,Good,80,86.0,68,0.0685082872928176
200,2024-09-06,Fair,76,71.0,67,0.0911360799001248
201,2024-09-05,Fair,73,53.0,66,0.0741190765492102
202,2024-09-04,Fair,68,54.0,65,0.1068075117370892
203,2024-09-03,Fair,75,69.0,64,0.0817843866171003
204,2024-09-02,Fair,72,58.0,62,0.1093247588424437
205,2024-09-01,Fair,70,37.0,62,0.1048252911813644
206,2024-08-31,Good,89,109.0,61,0.0881801125703564
207,2024-08-30,Good,81,88.0,62,0.0801564027370479
208,2024-08-29,Fair,78,82.0,62,0.0747767857142857
209,2024-08-28,Good,82,88.0,62,0.0878099173553719
210,2024-08-27,Fair,72,24.0,60,0.0804248861911987
211,2024-08-26,Fair,71,80.0,58,0.1451787648970747
212,2024-08-25,Fair,69,77.0,59,0.0816326530612244
213,2024-08-24,Good,89,134.0,59,0.086092715231788
214,2024-08-23,Fair,77,49.0,59,0.0711237553342816
215,2024-08-22,Fair,75,76.0,60,0.0753498385360602
216,2024-08-21,Good,80,53.0,60,0.0593548387096774
217,2024-08-20,Fair,62,70.0,58,0.0936254980079681
218,2024-08-19,Fair,72,50.0,59,0.059610705596107
219,2024-08-18,Good,82,85.0,60,0.083986562150056
220,2024-08-17,Fair,75,96.0,60,0.1019108280254777
221,2024-08-16,Fair,75,70.0,59,0.0679611650485436
222,2024-08-15,Fair,72,63.0,60,0.0630749014454664
223,2024-08-14,Fair,73,60.0,60,0.0463576158940397
224,2024-08-13,Fair,79,43.0,62,0.066577896138482
225,2024-08-12,Fair,63,49.0,62,0.1222493887530562
226,2024-08-10,Fair,74,79.0,63,0.0721533258173618
227,2024-08-09,Good,80,86.0,62,0.068075117370892
228,2024-08-08,Fair,70,16.0,63,0.0497925311203319
229,2024-08-07,Fair,71,42.0,62,0.0620031796502384
230,2024-08-06,Poor,58,12.0,61,0.04177545691906
231,2024-08-04,Excellent,90,123.0,62,0.1024478694469628
232,2024-08-02,Fair,64,63.0,62,0.1089108910891089
233,2024-08-01,Fair,78,89.0,60,0.0592020592020592
234,2024-07-31,Good,80,46.0,62,0.0632111251580278
235,2024-07-30,Fair,64,50.0,61,0.075187969924812
236,2024-07-29,Fair,74,44.0,61,0.0881987577639751
237,2024-07-28,Good,84,92.0,58,0.0630914826498422
238,2024-07-26,Fair,78,59.0,59,0.0629095674967234
239,2024-07-25,Fair,64,55.0,59,0.052930056710775
240,2024-07-24,Fair,74,58.0,59,0.0605296343001261
241,2024-07-23,Fair,75,74.0,61,0.0970414201183432
242,2024-07-22,Fair,77,64.0,61,0.0825309491059147
243,2024-07-21,Good,81,135.0,63,0.0798845043310875
244,2024-07-20,Good,83,66.0,64,0.0873362445414847
245,2024-07-18,Fair,68,69.0,63,0.0769230769230769
246,2024-07-17,Fair,71,41.0,61,0.0521512385919165
247,2024-07-16,Fair,70,78.0,61,0.0911161731207289
248,2024-07-15,Fair,64,22.0,60,0.0994152046783625
249,2024-07-14,Fair,78,80.0,61,0.0977068793619142
250,2024-07-12,Fair,67,48.0,61,0.0661625708884688
251,2024-07-11,Poor,52,53.0,61,0.0677165354330708
252,2024-07-10,Poor,55,39.0,62,0.0590500641848523
253,2024-07-09,Fair,74,48.0,61,0.0749063670411985
254,2024-07-08,Fair,63,32.0,59,0.0696594427244582
255,2024-07-03,Fair,69,50.0,58,0.0490797546012269
256,2024-07-02,Fair,68,65.0,57,0.0448343079922027
257,2024-07-01,Fair,71,52.0,60,0.0634278002699055
258,2024-06-30,Fair,72,63.0,62,0.0958385876418663
259,2024-06-29,Good,83,103.0,64,0.0722278738555442
260,2024-06-27,Fair,69,52.0,61,0.0654088050314465
